============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:36:03 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_CNIVX7             38      59.280      0.080       5.829    CORE65LPSVT 
HS65_LS_CNIVX82            28     276.640      0.964      59.373    CORE65LPSVT 
HS65_LS_DFPRQNX9            3      31.200      0.029      20.795    CORE65LPSVT 
HS65_LS_DFPRQX18            9      98.280      0.117      90.717    CORE65LPSVT 
HS65_LS_DFPRQX4           165    1716.000      1.442    1416.449    CORE65LPSVT 
HS65_LS_DFPRQX9            66     686.400      0.653     574.464    CORE65LPSVT 
HS65_LS_FA1X18           1889   26521.560     45.801   13905.496    CORE65LPSVT 
HS65_LS_FA1X27           2358   50272.560     87.972   27641.427    CORE65LPSVT 
HS65_LS_FA1X35             43    1140.360      2.218     695.542    CORE65LPSVT 
HS65_LS_FA1X4             693    6486.480      4.353    1421.242    CORE65LPSVT 
HS65_LS_FA1X9            1321   14425.320     14.455    4794.615    CORE65LPSVT 
HS65_LS_HA1X18            542    3945.760     11.496    2596.030    CORE65LPSVT 
HS65_LS_HA1X27             51     609.960      1.746     428.121    CORE65LPSVT 
HS65_LS_HA1X35             35     473.200      1.618     366.897    CORE65LPSVT 
HS65_LS_HA1X4             870    4524.000      4.524    1342.652    CORE65LPSVT 
HS65_LS_HA1X9             758    4729.920      7.334    1974.331    CORE65LPSVT 
HS65_LS_IVX106             98     866.320      4.184     164.010    CORE65LPSVT 
HS65_LS_IVX13              33      68.640      0.138      11.999    CORE65LPSVT 
HS65_LS_IVX142             31     370.760      1.823      70.691    CORE65LPSVT 
HS65_LS_IVX18            4675    9724.000     25.215    2491.407    CORE65LPSVT 
HS65_LS_IVX2                1       1.560      0.001       0.060    CORE65LPSVT 
HS65_LS_IVX213              2      34.320      0.183       4.837    CORE65LPSVT 
HS65_LS_IVX22              22      68.640      0.172      15.898    CORE65LPSVT 
HS65_LS_IVX27            1964    6127.680     18.182    1827.364    CORE65LPSVT 
HS65_LS_IVX31             156     567.840      1.724     124.271    CORE65LPSVT 
HS65_LS_IVX35            1311    4772.040     16.442    1277.716    CORE65LPSVT 
HS65_LS_IVX4                1       1.560      0.001       0.128    CORE65LPSVT 
HS65_LS_IVX40              31     128.960      0.448      35.622    CORE65LPSVT 
HS65_LS_IVX44             659    2741.440     10.648     723.457    CORE65LPSVT 
HS65_LS_IVX49              22     114.400      0.407      25.877    CORE65LPSVT 
HS65_LS_IVX53             368    1913.600      7.387     435.563    CORE65LPSVT 
HS65_LS_IVX62              84     480.480      1.984     105.556    CORE65LPSVT 
HS65_LS_IVX7              141     219.960      0.277      23.679    CORE65LPSVT 
HS65_LS_IVX71             164    1023.360      4.514     211.847    CORE65LPSVT 
HS65_LS_IVX9             4445    6934.200     11.151    1254.311    CORE65LPSVT 
HS65_LS_MUX21I1X12        243    1642.680      3.095     761.984    CORE65LPSVT 
HS65_LS_MUX21I1X18        207    2152.800      4.360     937.321    CORE65LPSVT 
HS65_LS_MUX21I1X24        130    1622.400      3.764     752.396    CORE65LPSVT 
HS65_LS_MUX21I1X6         132     549.120      0.866     206.523    CORE65LPSVT 
HS65_LS_MUX21X18           51     318.240      0.881     178.066    CORE65LPSVT 
HS65_LS_MUX21X27           13     121.680      0.330      61.945    CORE65LPSVT 
HS65_LS_MUX21X35           51     530.400      1.808     294.150    CORE65LPSVT 
HS65_LS_MUX21X4            36     149.760      0.173      72.249    CORE65LPSVT 
HS65_LS_MUX21X9            49     229.320      0.365     116.336    CORE65LPSVT 
HS65_LS_MUX31X4             3      21.840      0.015       3.375    CORE65LPSVT 
HS65_LS_MUXI21X10          65     540.800      0.785     169.128    CORE65LPSVT 
HS65_LS_MUXI21X15          84     873.600      1.572     353.549    CORE65LPSVT 
HS65_LS_MUXI21X2           11      40.040      0.032       5.768    CORE65LPSVT 
HS65_LS_MUXI21X20           1      14.040      0.023       7.782    CORE65LPSVT 
HS65_LS_MUXI21X5           56     262.080      0.315      67.552    CORE65LPSVT 
HS65_LS_MUXI31X2            1       7.280      0.004       0.857    CORE65LPSVT 
HS65_LS_MUXI31X4            5      39.000      0.040       6.752    CORE65LPSVT 
HS65_LS_NAND2AX14        1894    7879.040     16.031    2749.230    CORE65LPSVT 
HS65_LS_NAND2AX21        1085    6206.200     14.674    2388.414    CORE65LPSVT 
HS65_LS_NAND2AX29         381    2575.560      7.878    1139.891    CORE65LPSVT 
HS65_LS_NAND2AX4            6      18.720      0.016       4.991    CORE65LPSVT 
HS65_LS_NAND2AX7         1900    5928.000      8.467    1809.724    CORE65LPSVT 
HS65_LS_NAND2X11          256     931.840      1.268     272.035    CORE65LPSVT 
HS65_LS_NAND2X14         3335   12139.400     22.904    3665.554    CORE65LPSVT 
HS65_LS_NAND2X21         1537    7992.400     17.427    2412.421    CORE65LPSVT 
HS65_LS_NAND2X29          774    4829.760     12.620    1549.144    CORE65LPSVT 
HS65_LS_NAND2X4             3       6.240      0.006       1.514    CORE65LPSVT 
HS65_LS_NAND2X43          407    3597.880     10.616     931.611    CORE65LPSVT 
HS65_LS_NAND2X5             6      12.480      0.012       3.200    CORE65LPSVT 
HS65_LS_NAND2X57           99    1184.040      3.592     309.788    CORE65LPSVT 
HS65_LS_NAND2X7          5567   11579.360     15.560    3261.579    CORE65LPSVT 
HS65_LS_NAND3AX13         121     692.120      1.051     217.936    CORE65LPSVT 
HS65_LS_NAND3AX19         130    1014.000      1.832     378.871    CORE65LPSVT 
HS65_LS_NAND3AX25          41     405.080      0.719     153.345    CORE65LPSVT 
HS65_LS_NAND3AX6          103     374.920      0.419      65.867    CORE65LPSVT 
HS65_LS_NAND3X13          290    1508.000      2.915     461.390    CORE65LPSVT 
HS65_LS_NAND3X19          215    1453.400      3.667     564.514    CORE65LPSVT 
HS65_LS_NAND3X25          166    1467.440      4.224     534.645    CORE65LPSVT 
HS65_LS_NAND3X38           71     923.000      2.580     305.046    CORE65LPSVT 
HS65_LS_NAND3X5            11      28.600      0.030       1.998    CORE65LPSVT 
HS65_LS_NAND3X50           19     326.040      0.873      83.398    CORE65LPSVT 
HS65_LS_NAND3X6            11      34.320      0.031       5.715    CORE65LPSVT 
HS65_LS_NAND3X9             2      10.400      0.018       1.830    CORE65LPSVT 
HS65_LS_NAND4ABX13         39     263.640      0.452      52.397    CORE65LPSVT 
HS65_LS_NAND4ABX19         27     266.760      0.496      69.290    CORE65LPSVT 
