============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  02:08:43 pm
  Module:                 FME_PIPE_8
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
    csa_tree_P.._18_10_groupi    43     0.543     58.478    48.390        106.868           107.411 
    PUs[6].U_F..S11_add_41_16    63     0.541     47.353    55.982        103.335           103.875 
    csa_tree_P.._18_10_groupi    43     0.540     57.517    47.312        104.829           105.368 
    PUs[5].U_F..S11_add_41_16    63     0.538     46.213    55.304        101.517           102.056 
    PUs[2].U_F..S11_add_41_16    63     0.538     46.089    55.562        101.651           102.190 
    PUs[8].U_F..S11_add_41_16    63     0.537     47.748    57.708        105.456           105.993 
    PUs[14].U_..S11_add_41_16    63     0.537     46.523    56.002        102.525           103.062 
    csa_tree_P.._18_10_groupi    43     0.537     56.047    45.975        102.022           102.560 
    PUs[10].U_..S11_add_41_16    63     0.537     47.590    55.850        103.440           103.977 
    csa_tree_P.._18_10_groupi    43     0.536     55.647    45.981        101.628           102.164 
    csa_tree_P.._18_10_groupi    44     0.536     58.050    48.290        106.340           106.876 
    addinc_PUs..S23_add_18_16    50     0.535     45.548    42.820         88.368            88.903 
    csa_tree_P.._18_10_groupi    43     0.535     56.984    47.349        104.334           104.868 
    addinc_PUs.._S3_add_18_16    49     0.533     44.792    40.225         85.017            85.550 
    addinc_PUs.._S3_add_18_16    51     0.532     42.046    39.214         81.260            81.792 
    PUs[7].U_F..S11_add_41_16    63     0.530     44.497    53.012         97.509            98.038 
    addinc_PUs..S23_add_18_16    49     0.528     45.942    42.559         88.501            89.029 
    csa_tree_P.._18_10_groupi    43     0.527     54.846    45.288        100.134           100.662 
    PUs[9].U_F..S11_add_41_16    63     0.527     44.018    52.734         96.752            97.279 
    PUs[1].U_F..S11_add_41_16    63     0.526     47.642    57.266        104.909           105.434 
    csa_tree_P.._18_10_groupi    43     0.526     52.206    43.938         96.144            96.670 
    csa_tree_P.._18_10_groupi    43     0.524     57.443    46.661        104.104           104.629 
    PUs[12].U_..S11_add_41_16    63     0.523     43.769    51.405         95.174            95.697 
    addinc_PUs..S23_add_18_16    51     0.522     44.998    42.163         87.162            87.683 
    csa_tree_P.._18_10_groupi    43     0.521     54.642    45.714        100.356           100.877 
    addinc_PUs.._S3_add_18_16    51     0.521     44.387    40.998         85.385            85.905 
    csa_tree_P.._18_10_groupi    43     0.519     56.216    48.278        104.494           105.013 
    addinc_PUs.._S3_add_18_16    49     0.517     46.176    42.839         89.015            89.532 
