============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  09:08:01 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal      Net        Dynamic          Total       
                                                                    (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW)  Power(uW)    Power(uW)       Power(uW)     
-----------------------------------------------------------------------------------------------------
    PUs[16].U_.._S2_add_18_10    76     0.585     55.253     62.915        118.168           118.753 
    PUs[13].U_.._S2_add_18_10    76     0.584     52.850     61.914        114.764           115.348 
    PUs[19].U_.._S2_add_18_10    76     0.583     58.520     69.346        127.867           128.450 
    PUs[32].U_.._S2_add_18_10    76     0.580     55.188     63.345        118.532           119.112 
    PUs[29].U_.._S2_add_18_10    75     0.579     56.213     65.516        121.729           122.308 
    PUs[17].U_.._S2_add_18_10    75     0.576     55.631     64.655        120.286           120.862 
    PUs[23].U_.._S2_add_18_10    75     0.574     57.838     66.599        124.437           125.011 
    PUs[24].U_.._S2_add_18_10    75     0.573     58.296     67.509        125.805           126.378 
    PUs[6].U_F.._S2_add_18_10    76     0.569     56.533     66.108        122.641           123.210 
    PUs[1].U_F.._S2_add_18_10    76     0.567     57.602     66.193        123.795           124.362 
    PUs[8].U_F.._S2_add_18_10    76     0.564     53.072     60.798        113.870           114.434 
    PUs[7].U_F.._S2_add_18_10    77     0.564     56.780     64.523        121.302           121.866 
    PUs[5].U_F.._S2_add_18_10    76     0.560     57.021     66.788        123.809           124.368 
    PUs[9].U_F.._S2_add_18_10    74     0.546     58.179     68.073        126.252           126.798 
    PUs[4].U_F.._S2_add_18_10    74     0.542     54.836     64.458        119.295           119.837 
    PUs[10].U_.._S2_add_18_10    75     0.542     56.387     66.521        122.908           123.450 
    PUs[2].U_F.._S2_add_18_10    74     0.538     57.590     66.035        123.625           124.163 
    PUs[3].U_F.._S2_add_18_10    74     0.536     55.841     66.096        121.937           122.473 
    csa_tree_P.._18_10_groupi    98     0.485     78.556    111.208        189.763           190.248 
    csa_tree_P.._18_10_groupi    98     0.484     83.311    118.138        201.449           201.933 
    csa_tree_P.._18_10_groupi    98     0.484     83.788    118.403        202.191           202.674 
    csa_tree_P.._18_10_groupi    98     0.483     82.481    115.664        198.145           198.629 
    csa_tree_P.._18_10_groupi    98     0.483     79.980    113.103        193.084           193.567 
    csa_tree_P.._18_10_groupi    98     0.483     80.403    113.160        193.563           194.047 
    csa_tree_P.._18_10_groupi    98     0.483     77.025    110.002        187.027           187.510 
    csa_tree_P.._18_10_groupi    98     0.483     80.113    114.453        194.566           195.049 
    csa_tree_P.._18_10_groupi    98     0.483     85.865    121.186        207.051           207.534 
    csa_tree_P.._18_10_groupi    98     0.483     81.721    114.493        196.213           196.696 
    csa_tree_P.._18_10_groupi    98     0.483     80.181    113.176        193.356           193.839 
    csa_tree_P.._18_10_groupi    98     0.482     77.668    109.870        187.538           188.020 
    csa_tree_P.._18_10_groupi    98     0.482     80.920    114.035        194.955           195.437 
    csa_tree_P.._18_10_groupi    98     0.482     79.927    113.315        193.242           193.724 
    csa_tree_P.._18_10_groupi    98     0.482     80.342    114.218        194.560           195.042 
    csa_tree_P.._18_10_groupi    98     0.482     77.427    109.679        187.107           187.589 
    csa_tree_P.._18_10_groupi    98     0.481     80.585    113.892        194.477           194.959 
    csa_tree_P.._18_10_groupi    98     0.481     78.986    111.702        190.688           191.169 
    csa_tree_P.._18_10_groupi    98     0.481     78.978    112.198        191.175           191.657 
    csa_tree_P.._18_10_groupi    98     0.481     75.865    107.536        183.401           183.882 
    csa_tree_P.._18_10_groupi    98     0.481     82.785    118.057        200.842           201.323 
    csa_tree_P.._18_10_groupi    98     0.480     80.410    114.462        194.873           195.353 
    csa_tree_P.._18_10_groupi    98     0.472     77.766    108.878        186.645           187.116 
    csa_tree_P.._18_10_groupi   100     0.461     70.788    109.113        179.901           180.362 
    csa_tree_P.._18_10_groupi   100     0.460     78.655    120.120        198.775           199.236 
    csa_tree_P.._18_10_groupi   100     0.460     71.224    108.949        180.173           180.633 
    csa_tree_P.._18_10_groupi   100     0.460     74.718    115.314        190.032           190.493 
    csa_tree_P.._18_10_groupi   100     0.460     78.783    119.587        198.370           198.830 
    csa_tree_P.._18_10_groupi   100     0.460     75.047    115.465        190.512           190.972 
    csa_tree_P.._18_10_groupi   100     0.460     72.907    111.997        184.905           185.365 
    csa_tree_P.._18_10_groupi   100     0.460     73.626    113.315        186.940           187.400 
    csa_tree_P.._18_10_groupi   100     0.460     79.723    120.830        200.553           201.012 
    csa_tree_P.._18_10_groupi   100     0.460     74.816    113.468        188.284           188.744 
    csa_tree_P.._18_10_groupi   100     0.460     78.546    119.921        198.467           198.927 
    csa_tree_P.._18_10_groupi   100     0.459     72.345    110.656        183.001           183.460 
    csa_tree_P.._18_10_groupi   100     0.459     80.053    123.041        203.094           203.553 
    csa_tree_P.._18_10_groupi   100     0.459     75.238    116.019        191.257           191.716 
    csa_tree_P.._18_10_groupi   100     0.459     82.435    124.997        207.432           207.891 
    csa_tree_P.._18_10_groupi   100     0.459     78.312    119.083        197.395           197.854 
    csa_tree_P.._18_10_groupi   100     0.459     74.759    115.006        189.764           190.223 
    csa_tree_P.._18_10_groupi   100     0.458     74.928    114.983        189.911           190.369 
    csa_tree_P.._18_10_groupi   100     0.458     77.415    118.535        195.950           196.409 
    csa_tree_P.._18_10_groupi   100     0.458     75.438    115.547        190.985           191.443 
    csa_tree_P.._18_10_groupi   100     0.458     73.106    112.664        185.771           186.229 
    csa_tree_P.._18_10_groupi   100     0.457     76.205    115.981        192.186           192.643 
    PUs[8].U_F2_U_p4             16     0.155    156.836     14.606        171.442           171.597 
    PUs[9].U_F2_U_p1             16     0.155    156.835     14.555        171.389           171.545 
    PUs[5].U_F2_U_p4             16     0.155    157.581     15.158        172.739           172.894 
    PUs[6].U_F2_U_p1             16     0.155    157.582     15.131        172.712           172.867 
    PUs[2].U_F2_U_p4             16     0.155    157.665     15.083        172.748           172.903 
    PUs[3].U_F2_U_p1             16     0.155    157.667     15.007        172.674           172.829 
    PUs[21].U_F2_U_p4            16     0.155    158.947     14.433        173.380           173.535 
    PUs[22].U_F2_U_p1            16     0.155    158.947     14.315        173.262           173.417 
    PUs[31].U_F2_U_p4            16     0.155    156.926     13.960        170.886           171.041 
    PUs[32].U_F2_U_p1            16     0.155    156.926     13.821        170.747           170.902 
    PUs[14].U_F2_U_p4            16     0.155    158.231     14.072        172.303           172.458 
    PUs[15].U_F2_U_p1            16     0.155    158.231     13.732        171.963           172.118 
    PUs[22].U_F2_U_p4            16     0.155    158.235     14.213        172.448           172.603 
    PUs[23].U_F2_U_p1            16     0.155    158.235     14.000        172.235           172.390 
