============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:44:26 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    PUs[14].U_.._S0_add_41_16     4     0.020     0.705     0.856          1.561             1.582 
    PUs[0].U_F..S20_add_41_16     4     0.020     0.906     1.117          2.023             2.043 
    PUs[8].U_F.._S0_add_41_16     4     0.020     0.936     2.088          3.025             3.045 
    PUs[16].U_.._S0_add_41_16     4     0.020     0.787     0.954          1.741             1.761 
    PUs[5].U_F.._S0_add_41_16     4     0.020     0.872     1.788          2.659             2.680 
    PUs[3].U_F..S20_add_41_16     4     0.020     0.974     1.171          2.145             2.165 
    PUs[4].U_F.._S0_add_41_16     4     0.020     0.841     1.780          2.621             2.641 
    PUs[11].U_.._S0_add_41_16     4     0.020     1.080     2.157          3.237             3.257 
    PUs[12].U_.._S0_add_41_16     4     0.020     0.624     0.791          1.415             1.435 
    PUs[2].U_F..S20_add_41_16     4     0.020     1.030     1.248          2.277             2.298 
    PUs[4].U_F..S20_add_41_16     4     0.020     0.745     0.970          1.715             1.735 
    PUs[9].U_F.._S0_add_41_16     4     0.020     0.724     1.518          2.242             2.262 
  U_crtl                         83     0.435    55.774    13.453         69.227            69.662 
    inc_add_966_29                7     0.035     0.507     0.420          0.927             0.962 
    inc_add_936_29                6     0.030     0.298     0.249          0.547             0.577 
    inc_add_951_29                6     0.030     0.140     0.117          0.257             0.287 
    lt_871_18                     2     0.008     0.000     0.000          0.000             0.008 
    lt_864_18                     2     0.008     0.000     0.000          0.000             0.008 
    lt_878_18                     2     0.008     0.000     0.000          0.000             0.008 
  clipping[2].U_clip             11     0.050     5.639     4.378         10.017            10.067 
    gte_734_34                    3     0.010     0.728     1.440          2.168             2.179 
  clipping[3].U_clip             11     0.050     5.001     3.758          8.760             8.809 
    gte_734_34                    3     0.010     0.561     1.114          1.675             1.685 
  clipping[15].U_clip            11     0.050     5.311     3.861          9.172             9.221 
    gte_734_34                    3     0.010     0.414     0.954          1.368             1.378 
  clipping[5].U_clip             11     0.049     5.085     3.815          8.900             8.949 
    gte_734_34                    3     0.010     0.471     1.063          1.534             1.544 
  clipping[8].U_clip             11     0.049     4.675     3.414          8.089             8.138 
