============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  09:54:43 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
  clipping[8..ip_gte_446_34       6     0.072      4.438     3.455          7.894             7.966 
  clipping[7..ip_gte_446_34       6     0.072      5.216     3.917          9.133             9.205 
  clipping[5..ip_gte_446_34       6     0.072      4.432     3.628          8.060             8.131 
  clipping[6..ip_gte_446_34       6     0.072      5.010     3.979          8.989             9.060 
  clipping[9..ip_gte_446_34       6     0.071      4.436     3.619          8.055             8.127 
  clipping[5..ip_gte_446_34       6     0.071      5.293     4.254          9.546             9.618 
  clipping[5..ip_gte_446_34       6     0.071      4.807     3.867          8.674             8.745 
  clipping[8..ip_gte_446_34       6     0.071      4.171     3.191          7.363             7.434 
  clipping[6..ip_gte_446_34       6     0.071      4.972     4.067          9.040             9.111 
  clipping[5..ip_gte_446_34       6     0.071      4.302     3.405          7.707             7.778 
  clipping[3..ip_gte_446_34       6     0.071      4.549     3.577          8.126             8.197 
  clipping[3..ip_gte_446_34       6     0.071      4.242     3.504          7.746             7.817 
  clipping[4..ip_gte_446_34       6     0.071      3.439     2.772          6.211             6.282 
  clipping[9..ip_gte_446_34       6     0.071      4.796     3.857          8.653             8.724 
  clipping[7..ip_gte_446_34       6     0.071      5.410     4.201          9.611             9.682 
  clipping[3..ip_gte_446_34       6     0.071      4.971     3.996          8.967             9.037 
  clipping[9..ip_gte_446_34       6     0.070      3.875     3.053          6.928             6.998 
  clipping[3..ip_gte_446_34       6     0.070      4.555     3.703          8.258             8.328 
  clipping[10].U_clip             3     0.015      1.186     0.727          1.913             1.927 
  clipping[7].U_clip              3     0.014      1.001     0.618          1.620             1.634 
  clipping[22].U_clip             3     0.014      1.019     0.618          1.637             1.651 
  clipping[19].U_clip             3     0.014      0.925     0.572          1.497             1.511 
  clipping[1].U_clip              3     0.014      0.929     0.572          1.501             1.515 
  clipping[31].U_clip             3     0.014      0.832     0.510          1.343             1.357 
  clipping[25].U_clip             3     0.014      0.905     0.557          1.462             1.476 
  clipping[16].U_clip             3     0.014      0.909     0.557          1.466             1.480 
  clipping[13].U_clip             3     0.014      0.836     0.510          1.346             1.360 
  clipping[4].U_clip              3     0.014      0.958     0.588          1.546             1.560 
  clipping[28].U_clip             3     0.014      1.043     0.634          1.677             1.691 

